alert,method,operating_point,threshold,chosen_on,validation_false_alarms_per_day,scope,n_flares,warned,detection_rate,chance_rate,event_TSS,false_alarms_per_day_test,alert_on_fraction_test,median_lead_min,q25_lead_min,q75_lead_min,lead_ge_5min,lead_ge_10min,note,mean_lead_min,p10_lead_min,p90_lead_min,median_lead_min_all,mean_lead_min_all,p10_lead_min_all,q25_lead_min_all,q75_lead_min_all,p90_lead_min_all
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),best_TSS,-5.5004,validation,,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_0.25,-3.3357,validation,0.246,all flares,114,72,0.632,0.011,0.621,0.386,0.0023,2.0,1.0,6.0,0.202,0.088,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_0.25,-3.3357,validation,0.246,GOES class M,110,,0.618,,,,,2.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_0.25,-3.3357,validation,0.246,GOES class X,4,,1.0,,,,,3.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_0.5,-3.6615,validation,0.47,all flares,114,83,0.728,0.029,0.699,0.546,0.0031,3.0,1.0,7.0,0.237,0.088,,5.23,0.0,11.8,3.0,5.23,0.0,1.0,7.0,11.8
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_0.5,-3.6615,validation,0.47,GOES class M,110,,0.718,,,,,2.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_0.5,-3.6615,validation,0.47,GOES class X,4,,1.0,,,,,4.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_1,-4.0506,validation,0.977,all flares,114,95,0.833,0.057,0.776,0.959,0.0048,3.0,1.0,8.0,0.316,0.14,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_1,-4.0506,validation,0.977,GOES class M,110,,0.827,,,,,3.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_1,-4.0506,validation,0.977,GOES class X,4,,1.0,,,,,4.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,best_TSS,-5.5287,validation,,all flares,114,114,1.0,0.54,0.46,2.184,0.0743,24.0,5.0,40.0,0.754,0.684,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,best_TSS,-5.5287,validation,,GOES class M,110,,1.0,,,,,23.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,best_TSS,-5.5287,validation,,GOES class X,4,,1.0,,,,,36.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_0.25,-5.0103,validation,0.246,all flares,114,108,0.947,0.04,0.907,0.093,0.0099,4.0,1.0,11.0,0.447,0.254,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_0.25,-5.0103,validation,0.246,GOES class M,110,,0.945,,,,,4.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_0.25,-5.0103,validation,0.246,GOES class X,4,,1.0,,,,,4.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_0.5,-5.0848,validation,0.497,all flares,114,113,0.991,0.08,0.911,0.266,0.0134,5.0,1.0,13.0,0.5,0.325,,10.51,0.0,37.8,5.0,10.51,0.0,1.0,13.0,37.8
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_0.5,-5.0848,validation,0.497,GOES class M,110,,0.991,,,,,4.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_0.5,-5.0848,validation,0.497,GOES class X,4,,1.0,,,,,5.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_1,-5.188,validation,0.977,all flares,114,113,0.991,0.149,0.842,0.559,0.0207,6.0,2.0,21.0,0.561,0.412,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_1,-5.188,validation,0.977,GOES class M,110,,0.991,,,,,7.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS flux now,fa_1,-5.188,validation,0.977,GOES class X,4,,1.0,,,,,5.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),best_TSS,0.5272,validation,,all flares,114,99,0.868,0.483,0.385,7.756,0.021,18.0,7.5,32.5,0.702,0.614,,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),best_TSS,0.5272,validation,,GOES class M,110,,0.864,,,,,18.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),best_TSS,0.5272,validation,,GOES class X,4,,1.0,,,,,21.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_0.25,-99.0,validation,0.128,all flares,114,114,1.0,1.0,0.0,0.1,1.0,40.0,37.0,47.5,1.0,1.0,,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_0.25,-99.0,validation,0.128,GOES class M,110,,1.0,,,,,40.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_0.25,-99.0,validation,0.128,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_0.5,-99.0,validation,0.128,all flares,114,114,1.0,1.0,0.0,0.1,1.0,40.0,37.0,47.5,1.0,1.0,,42.85,33.3,56.4,40.0,42.85,33.3,37.0,47.5,56.4
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_0.5,-99.0,validation,0.128,GOES class M,110,,1.0,,,,,40.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_0.5,-99.0,validation,0.128,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_1,-99.0,validation,0.128,all flares,114,114,1.0,1.0,0.0,0.1,1.0,40.0,37.0,47.5,1.0,1.0,,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_1,-99.0,validation,0.128,GOES class M,110,,1.0,,,,,40.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,hot-onset trigger (SoLEXS),fa_1,-99.0,validation,0.128,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
