experiment,population,horizon_min,split,kind,units,n_samples,n_days,metric,value,ci95_low,ci95_high
reference: SoLEXS flux now (calibrated on training),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,correlation,0.777783,,
reference: GOES flux now (persistence),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,MAE,0.119375,0.1097,0.1293
reference: GOES flux now (persistence),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,RMSE,0.209343,,
reference: GOES flux now (persistence),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,bias,0.000292,,
reference: GOES flux now (persistence),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,correlation,0.800141,,
reference: climatology (training mean),native,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",117185,171,MAE,0.508143,0.4781,0.5401
reference: climatology (training mean),native,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",117185,171,RMSE,0.565025,,
reference: climatology (training mean),native,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",117185,171,bias,0.45527,,
reference: climatology (training mean),native,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",117185,171,correlation,,,
reference: SoLEXS flux now (calibrated on training),native,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",106848,162,MAE,0.053885,0.0515,0.0567
reference: SoLEXS flux now (calibrated on training),native,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",106848,162,RMSE,0.069063,,
reference: SoLEXS flux now (calibrated on training),native,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",106848,162,bias,-0.011124,,
reference: SoLEXS flux now (calibrated on training),native,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",106848,162,correlation,0.980685,,
reference: climatology (training mean),native,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",117138,171,MAE,0.508169,0.4781,0.5402
reference: climatology (training mean),native,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",117138,171,RMSE,0.565062,,
reference: climatology (training mean),native,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",117138,171,bias,0.455279,,
reference: climatology (training mean),native,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",117138,171,correlation,,,
reference: SoLEXS flux now (calibrated on training),native,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",106805,162,MAE,0.053657,0.0512,0.0565
reference: SoLEXS flux now (calibrated on training),native,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",106805,162,RMSE,0.068854,,
